# ParticleTable.txt file containing particle
# properties for ParticlePropertySvc, EvtGen and Pythia.
# Uses PDG 2014 when available.
# https://gitlab.cern.ch/lhcb-conddb/DDDB/-/blob/master/param/ParticleTable.txt
PARTICLE,GEANTID,PDGID,CHARGE,MASS(GeV),TLIFE(s),EVTGENNAME,PYTHIAID,MAXWIDTH
Sigma_c*~--,489,-4224,-2.0,2.51841000,4.453396e-23,anti-Sigma_c*--,-4224,0.00000000
Xi_c0,106,4132,0.0,2.47091000,1.530726e-13,Xi_c0,4132,0.00000000
Xi_c~0,107,-4132,0.0,2.47091000,1.530726e-13,anti-Xi_c0,-4132,0.00000000
Xi_c+,108,4232,1.0,2.46793000,4.420000e-13,Xi_c+,4232,0.00000000
Xi_c~-,109,-4232,-1.0,2.46793000,4.420000e-13,anti-Xi_c-,-4232,0.00000000
Xi'_c0,100,4312,0.0,2.57920000,0.000000e+00,Xi'_c0,4312,0.00000000
Xi'_c~0,101,-4312,0.0,2.57920000,0.000000e+00,anti-Xi'_c0,-4312,0.00000000
Xi'_c+,102,4322,1.0,2.57840000,0.000000e+00,Xi'_c+,4322,0.00000000
Xi'_c~-,103,-4322,-1.0,2.57840000,0.000000e+00,anti-Xi'_c-,-4322,0.00000000
Xi_c*0,494,4314,0.0,2.64638000,2.800902e-22,Xi_c*0,4314,0.00000000
Xi_c*~0,495,-4314,0.0,2.64638000,2.800902e-22,anti-Xi_c*0,-4314,0.00000000
Xi_c*+,496,4324,1.0,2.64557000,3.075757e-22,Xi_c*+,4324,0.00000000
Xi_c*~-,497,-4324,-1.0,2.64557000,3.075757e-22,anti-Xi_c*-,-4324,0.00000000
Xi_c(2790)+,1051,104324,1.0,2.79240000,7.395640e-23,Xi_c(2790)+,0,0.00000000
Xi_c(2790)~-,1052,-104324,-1.0,2.79240000,7.395640e-23,anti-Xi_c(2790)-,0,0.00000000
Xi_c(2790)0,1053,104314,0.0,2.79410000,6.582120e-23,Xi_c(2790)0,0,0.00000000
Xi_c(2790)~0,1054,-104314,0.0,2.79410000,6.582120e-23,anti-Xi_c(2790)0,0,0.00000000
Xi_c(2815)+,1055,104322,1.0,2.81673000,2.708691e-22,Xi_c(2815)+,0,0.00000000
Xi_c(2815)~-,1056,-104322,-1.0,2.81673000,2.708691e-22,anti-Xi_c(2815)-,0,0.00000000
Xi_c(2815)0,1057,104312,0.0,2.82026000,2.591386e-22,Xi_c(2815)0,0,0.00000000
Xi_c(2815)~0,1058,-104312,0.0,2.82026000,2.591386e-22,anti-Xi_c(2815)0,0,0.00000000
Omega_c0,104,4332,0.0,2.69520000,2.680000e-13,Omega_c0,4332,0.00000000
Omega_c~0,105,-4332,0.0,2.69520000,2.680000e-13,anti-Omega_c0,-4332,0.00000000
Omega_c*0,498,4334,0.0,2.76590000,0.000000e+00,Omega_c*0,4334,0.00000000
Omega_c*~0,499,-4334,0.0,2.76590000,0.000000e+00,anti-Omega_c*0,-4334,0.00000000
Xi_cc+,502,4412,1.0,3.62140000,0.800000e-13,Xi_cc+,4412,0.00000000
Xi_cc~-,503,-4412,-1.0,3.62140000,0.800000e-13,anti-Xi_cc-,-4412,0.00000000
Xi*_cc+,504,4414,1.0,3.65648000,0.000000e+00,Xi_cc*+,4414,0.00000000
Xi*_cc~-,505,-4414,-1.0,3.65648000,0.000000e+00,anti-Xi_cc*-,-4414,0.00000000
Xi_cc++,506,4422,2.0,3.62140000,2.560000e-13,Xi_cc++,4422,0.00000000
Xi_cc~--,507,-4422,-2.0,3.62140000,2.560000e-13,anti-Xi_cc--,-4422,0.00000000
Xi*_cc++,508,4424,2.0,3.65648000,0.000000e+00,Xi_cc*++,4424,0.00000000
Xi*_cc~--,509,-4424,-2.0,3.65648000,0.000000e+00,anti-Xi_cc*--,-4424,0.00000000
Omega_cc+,510,4432,1.0,3.73800000,1.600000e-13,Omega_cc+,4432,0.00000000
Omega_cc~-,511,-4432,-1.0,3.73800000,1.600000e-13,anti-Omega_cc-,-4432,0.00000000
Omega*_cc+,512,4434,1.0,3.82466000,0.000000e+00,Omega_cc*+,4434,0.00000000
Omega*_cc~-,513,-4434,-1.0,3.82466000,0.000000e+00,anti-Omega_cc*-,-4434,0.00000000
Omega*_ccc++,514,4444,2.0,4.91594000,0.000000e+00,Omega*_ccc++,4444,0.00000000
Omega*_ccc~--,515,-4444,-2.0,4.91594000,0.000000e+00,anti-Omega*_ccc--,-4444,0.00000000
Lambda_b0,79,5122,0.0,5.61960000,1.470865e-12,Lambda_b0,5122,0.00000000
Lambda_b~0,80,-5122,0.0,5.61960000,1.470865e-12,anti-Lambda_b0,-5122,0.00000000
Lambda_b(5912)0,1065,15122,0.0,5.91220000,1.316000e-21,Lambda_b(5912)0,15122,0.00000000
Lambda_b(5912)~0,1066,-15122,0.0,5.91220000,1.316000e-21,anti-Lambda_b(5912)0,-15122,0.00000000
Lambda_b(5920)0,1067,5124,0.0,5.91992000,1.316000e-21,Lambda_b(5920)0,5124,0.00000000
Lambda_b(5920)~0,1068,-5124,0.0,5.91992000,1.316000e-21,anti-Lambda_b(5920)0,-5124,0.00000000
Sigma_b-,114,5112,-1.0,5.81564000,1.343290e-22,Sigma_b-,5112,0.00000000
Sigma_b~+,115,-5112,1.0,5.81564000,1.343290e-22,anti-Sigma_b+,-5112,0.00000000
Sigma_b0,112,5212,0.0,5.80780000,1.000000e-19,Sigma_b0,5212,0.00000000
Sigma_b~0,113,-5212,0.0,5.80780000,1.000000e-19,anti-Sigma_b0,-5212,0.00000000
Sigma_b+,110,5222,1.0,5.81056000,1.316424e-22,Sigma_b+,5222,0.00000000
Sigma_b~-,111,-5222,-1.0,5.81056000,1.316424e-22,anti-Sigma_b-,-5222,0.00000000
Sigma_b*-,520,5114,-1.0,5.83474000,8.776160e-23,Sigma_b*-,5114,0.00000000
Sigma_b*~+,521,-5114,1.0,5.83474000,8.776160e-23,anti-Sigma_b*+,-5114,0.00000000
Sigma_b*0,528,5214,0.0,5.82900000,0.000000e+00,Sigma_b*0,5214,0.00000000
Sigma_b*~0,529,-5214,0.0,5.82900000,0.000000e+00,anti-Sigma_b*0,-5214,0.00000000
Sigma_b*+,530,5224,1.0,5.83032000,7.002255e-23,Sigma_b*+,5224,0.00000000
Sigma_b*~-,531,-5224,-1.0,5.83032000,7.002255e-23,anti-Sigma_b*-,-5224,0.00000000
Xi_b-,122,5132,-1.0,5.79700000,1.570912e-12,Xi_b-,5132,0.00000000
Xi_b~+,123,-5132,1.0,5.79700000,1.570912e-12,anti-Xi_b+,-5132,0.00000000
Xi_b0,124,5232,0.0,5.79190000,1.490000e-12,Xi_b0,5232,0.00000000
Xi_b~0,125,-5232,0.0,5.79190000,1.490000e-12,anti-Xi_b0,-5232,0.00000000
Xi'_b-,116,5312,-1.0,5.96000000,1.000000e-19,Xi'_b-,5312,0.00000000
Xi'_b~+,117,-5312,1.0,5.96000000,1.000000e-19,anti-Xi'_b+,-5312,0.00000000
Xi'_b0,118,5322,0.0,5.96000000,1.000000e-19,Xi'_b0,5322,0.00000000
Xi'_b~0,119,-5322,0.0,5.96000000,1.000000e-19,anti-Xi'_b0,-5322,0.00000000
Xi_b*-,538,5314,-1.0,5.97000000,0.000000e+00,Xi_b*-,5314,0.00000000
Xi_b*~+,539,-5314,1.0,5.97000000,0.000000e+00,anti-Xi_b*+,-5314,0.00000000
Xi_b*0,540,5324,0.0,5.97000000,0.000000e+00,Xi_b*0,5324,0.00000000
Xi_b*~0,541,-5324,0.0,5.97000000,0.000000e+00,anti-Xi_b*0,-5324,0.00000000
Omega_b*-,542,5334,-1.0,6.13000000,0.000000e+00,Omega_b*-,5334,0.00000000
Omega_b*~+,543,-5334,1.0,6.13000000,0.000000e+00,anti-Omega_b*+,-5334,0.00000000
Omega_b-,120,5332,-1.0,6.04610000,1.645530e-12,Omega_b-,5332,0.00000000
Omega_b~+,121,-5332,1.0,6.04610000,1.645530e-12,anti-Omega_b+,-5332,0.00000000
Xi_bc0,522,5142,0.0,6.90000000,0.500000e-12,Xi_bc0,5142,0.00000000
Xi_bc~0,523,-5142,0.0,6.90000000,0.500000e-12,anti-Xi_bc0,-5142,0.00000000
Xi_bc+,532,5242,1.0,6.90000000,0.500000e-12,Xi_bc+,5242,0.00000000
Xi_bc~-,533,-5242,-1.0,6.90000000,0.500000e-12,anti-Xi_bc-,-5242,0.00000000
Omega_bc0,544,5342,0.0,7.19099000,0.500000e-12,Omega_bc0,5342,0.00000000
Omega_bc~0,545,-5342,0.0,7.19099000,0.500000e-12,anti-Omega_bc0,-5342,0.00000000
Xi'_bc0,550,5412,0.0,7.03724000,0.000000e+00,Xi'_bc0,5412,0.00000000
Xi'_bc~0,551,-5412,0.0,7.03724000,0.000000e+00,anti-Xi'_bc0,-5412,0.00000000
Xi*_bc0,552,5414,0.0,7.04850000,0.000000e+00,Xi*_bc0,5414,0.00000000
Xi*_bc~0,553,-5414,0.0,7.04850000,0.000000e+00,anti-Xi*_bc0,-5414,0.00000000
Xi'_bc+,554,5422,1.0,7.03724000,0.000000e+00,Xi'_bc+,5422,0.00000000
Xi'_bc~-,555,-5422,-1.0,7.03724000,0.000000e+00,anti-Xi'_bc-,-5422,0.00000000
Xi*_bc+,556,5424,1.0,7.04850000,0.000000e+00,Xi*_bc+,5424,0.00000000
Xi*_bc~-,557,-5424,-1.0,7.04850000,0.000000e+00,anti-Xi*_bc+,-5424,0.00000000
Omega'_bc0,558,5432,0.0,7.21101000,0.000000e+00,Omega'_bc0,5432,0.00000000
Omega'_bc~0,559,-5432,0.0,7.21101000,0.000000e+00,anti-Omega'_bc0,-5432,0.00000000
Omega*_bc0,560,5434,0.0,7.21900000,0.000000e+00,Omega*_bc0,5434,0.00000000
Omega*_bc~0,561,-5434,0.0,7.21900000,0.000000e+00,anti-Omega*_bc0,-5434,0.00000000
Omega_bcc+,562,5442,1.0,8.30945000,1.290893e-12,Omega_bcc+,5442,0.00000000
Omega_bcc~-,563,-5442,-1.0,8.30945000,1.290893e-12,anti-Omega_bcc-,-5442,0.00000000
Omega*_bcc+,564,5444,1.0,8.31325000,0.000000e+00,Omega*_bcc+,5444,0.00000000
Omega*_bcc~-,565,-5444,-1.0,8.31325000,0.000000e+00,anti-Omega*_bcc-,-5444,0.00000000
Xi_bb-,568,5512,-1.0,10.42272000,1.290893e-12,Xi_bb-,5512,0.00000000
Xi_bb~+,569,-5512,1.0,10.42272000,1.290893e-12,anti-Xi_bb+,-5512,0.00000000
Xi*_bb-,570,5514,-1.0,10.44144000,0.000000e+00,Xi*_bb-,5514,0.00000000
Xi*_bb~+,571,-5514,1.0,10.44144000,0.000000e+00,anti-Xi*_bb+,-5514,0.00000000
Xi_bb0,572,5522,0.0,10.42272000,1.290893e-12,Xi_bb0,5522,0.00000000
Xi_bb~0,573,-5522,0.0,10.42272000,1.290893e-12,anti-Xi_bb0,-5522,0.00000000
Xi*_bb0,574,5524,0.0,10.44144000,0.000000e+00,Xi*_bb0,5524,0.00000000
Xi*_bb~0,575,-5524,0.0,10.44144000,0.000000e+00,anti-Xi*_bb0,-5524,0.00000000
Omega_bb-,576,5532,-1.0,10.60209000,1.290893e-12,Omega_bb-,5532,0.00000000
Omega_bb~+,577,-5532,1.0,10.60209000,1.290893e-12,anti-Omega_bb+,-5532,0.00000000
Omega*_bb-,578,5534,-1.0,10.61426000,0.000000e+00,Omega*_bb-,5534,0.00000000
Omega*_bb~+,579,-5534,1.0,10.61426000,0.000000e+00,anti-Omega*_bb+,-5534,0.00000000
Omega_bbc0,580,5542,0.0,11.70767000,1.290893e-12,Omega_bbc0,5542,0.00000000
Omega_bbc~0,581,-5542,0.0,11.70767000,1.290893e-12,anti-Omega_bbc0,-5542,0.00000000
Omega*_bbc0,582,5544,0.0,11.71147000,0.000000e+00,Omega*_bbc0,5544,0.00000000
Omega*_bbc~0,583,-5544,0.0,11.71147000,0.000000e+00,anti-Omega*_bbc0,-5544,0.00000000
Omega*_bbb-,584,5554,-1.0,15.11061000,0.000000e+00,Omega*_bbb-,5554,0.00000000
Omega*_bbb~+,585,-5554,1.0,15.11061000,0.000000e+00,anti-Omega*_bbb+,-5554,0.00000000
deuteron,45,1000010020,1.0,1.87561300,1.000000e+15,deuteron,0,0.00000000
triton,46,1000010030,1.0,2.80925000,1.000000e+15,tritium,0,0.00000000
alpha,47,1000020040,2.0,3.72741700,1.000000e+15,alpha,0,0.00000000
geantino,48,480000000,0.0,0.00000000,1.000000e+15,geantino,0,0.00000000
opticalphoton,50,20022,0.0,0.00000000,1.000000e+16,Cerenkov,0,0.00000000
H_10,87,25,0.0,125.10000000,9.400000e-26,Higgs0,25,0.00000000
H_20,88,35,0.0,310.00000000,9.400000e-26,Higgs'0,35,0.00000000
H_30,89,36,0.0,310.00000000,9.400000e-26,A0,36,0.00000000
H+,90,37,1.0,310.00000000,9.400000e-26,Higgs+,37,0.00000000
H-,91,-37,-1.0,310.00000000,9.400000e-26,Higgs-,-37,0.00000000
d,303,1,-0.3,0.00990000,0.000000e+00,d,1,0.00000000
anti-d,304,-1,0.3,0.00990000,0.000000e+00,anti-d,-1,0.00000000
u,305,2,0.7,0.00560000,0.000000e+00,u,2,0.00000000
anti-u,306,-2,-0.7,0.00560000,0.000000e+00,anti-u,-2,0.00000000
s,307,3,-0.3,0.19900000,0.000000e+00,s,3,0.00000000
anti-s,308,-3,0.3,0.19900000,0.000000e+00,anti-s,-3,0.00000000
c,309,4,0.7,1.35000000,0.000000e+00,c,4,0.00000000
anti-c,310,-4,-0.7,1.35000000,0.000000e+00,anti-c,-4,0.00000000
b,311,5,-0.3,5.00000000,0.000000e+00,b,5,0.00000000
anti-b,312,-5,0.3,5.00000000,0.000000e+00,anti-b,-5,0.00000000
t,313,6,0.7,173.50000000,3.291061e-25,t,6,0.00000000
anti-t,314,-6,-0.7,173.50000000,3.291061e-25,anti-t,-6,0.00000000
b',315,7,-0.3,400.00000000,0.000000e+00,b',7,0.00000000
anti-b',316,-7,0.3,400.00000000,0.000000e+00,anti-b',-7,0.00000000
t',317,8,0.7,500.00000000,0.000000e+00,t',8,0.00000000
anti-t',318,-8,-0.7,500.00000000,0.000000e+00,anti-t',-8,0.00000000
nu_tau,319,16,0.0,0.00000000,1.000000e+16,nu_tau,16,0.00000000
nu_tau~,320,-16,0.0,0.00000000,1.000000e+16,anti-nu_tau,-16,0.00000000
L-,321,17,-1.0,400.00000000,0.000000e+00,L-,17,0.00000000
L+,322,-17,1.0,400.00000000,0.000000e+00,L+,-17,0.00000000
nu_L,323,18,0.0,0.00000000,0.000000e+00,nu_L,18,0.00000000
anti-nu_L,324,-18,0.0,0.00000000,0.000000e+00,anti-nu_L,-18,0.00000000
g,325,21,0.0,0.00000000,1.000000e+16,g,21,0.00000000
Z'0,326,32,0.0,500.00000000,0.000000e+00,Z'0,32,0.00000000
Z''0,327,33,0.0,900.00000000,0.000000e+00,Z''0,33,0.00000000
W'+,328,34,1.0,500.00000000,0.000000e+00,W'+,34,0.00000000
W'-,329,-34,-1.0,500.00000000,0.000000e+00,W'-,-34,0.00000000
Graviton,330,39,0.0,0.00000000,0.000000e+00,unknown,39,0.00000000
R0,331,41,0.0,5000.00000000,0.000000e+00,R0,41,0.00000000
anti-R0,332,-41,0.0,5000.00000000,0.000000e+00,anti-R0,-41,0.00000000
LQ_ue,333,42,-0.3,200.00000000,0.000000e+00,unknown,42,0.00000000
LQ_uebar,334,-42,0.3,200.00000000,0.000000e+00,unknown,-42,0.00000000
Xu0,335,43,0.0,1.00000000,0.000000e+00,Xu0,43,0.00000000
Xu+,336,44,1.0,1.00000000,0.000000e+00,Xu+,44,0.00000000
Xu-,337,-44,-1.0,1.00000000,0.000000e+00,Xu-,-44,0.00000000
specflav,338,81,0.0,0.00000000,0.000000e+00,specflav,81,0.00000000
rndmflav,339,82,0.0,0.00000000,0.000000e+00,rndmflav,82,0.00000000
anti-rndmflav,340,-82,0.0,0.00000000,0.000000e+00,anti-rndmflav,-82,0.00000000
phasespa,341,83,0.0,1.00000000,0.000000e+00,phasespa,83,0.00000000
c-hadron,342,84,0.7,2.00000000,3.335641e-13,c-hadron,84,0.00000000
anti-c-hadron,343,-84,-0.7,2.00000000,3.335641e-13,anti-c-hadron,-84,0.00000000
b-hadron,344,85,-0.3,5.00000000,1.290893e-12,b-hadron,85,0.00000000
anti-b-hadron,345,-85,0.3,5.00000000,1.290893e-12,anti-b-hadron,-85,0.00000000
t-hadron,346,86,0.7,175.00000000,0.000000e+00,t-hadron,0,0.00000000
anti-t-hadron,347,-86,-0.7,175.00000000,0.000000e+00,anti-t-hadron,0,0.00000000
b'-hadron,348,87,-0.3,400.00000000,0.000000e+00,b'-hadron,0,0.00000000
anti-b'-hadron,349,-87,0.3,400.00000000,0.000000e+00,anti-b'-hadron,0,0.00000000
junction,350,88,0.0,0.00000000,0.000000e+00,junction,88,0.00000000
system,351,90,0.0,0.00000000,0.000000e+00,system,90,0.00000000
cluster,352,91,0.0,0.00000000,0.000000e+00,cluster,91,0.00000000
string,353,92,0.0,0.00000000,0.000000e+00,string,92,0.00000000
indep,354,93,0.0,0.00000000,0.000000e+00,indep,93,0.00000000
CMshower,355,94,0.0,0.00000000,0.000000e+00,CMshower,94,0.00000000
SPHEaxis,356,95,0.0,0.00000000,0.000000e+00,SPHEaxis,95,0.00000000
THRUaxis,357,96,0.0,0.00000000,0.000000e+00,THRUaxis,96,0.00000000
CLUSjet,358,97,0.0,0.00000000,0.000000e+00,CLUSjet,97,0.00000000
CELLjet,359,98,0.0,0.00000000,0.000000e+00,CELLjet,98,0.00000000
table,360,99,0.0,0.00000000,0.000000e+00,table,99,0.00000000
deuteron~,390-1000010020,-1.0,1.87561300,1.000000e+15,anti-deuteron,0,0.00000000
triton~,392-1000010030,-1.0,2.80925000,1.000000e+15,anti-tritium,0,0.00000000
alpha~,393-1000020040,-2.0,3.72741700,1.000000e+15,anti-alpha,0,0.00000000
dd_1,394,1103,-0.7,0.00000000,0.000000e+00,dd_1,1103,0.00000000
anti-dd_1,395,-1103,0.7,0.00000000,0.000000e+00,anti-dd_1,-1103,0.00000000
ud_0,410,2101,0.3,0.00000000,0.000000e+00,ud_0,2101,0.00000000
anti-ud_0,411,-2101,-0.3,0.00000000,0.000000e+00,anti-ud_0,-2101,0.00000000
ud_1,412,2103,0.3,0.00000000,0.000000e+00,ud_1,2103,0.00000000
anti-ud_1,413,-2103,-0.3,0.00000000,0.000000e+00,anti-ud_1,-2103,0.00000000
uu_1,426,2203,1.3,0.00000000,0.000000e+00,uu_1,2203,0.00000000
anti-uu_1,427,-2203,-1.3,0.00000000,0.000000e+00,anti-uu_1,-2203,0.00000000
sd_0,438,3101,-0.7,0.00000000,0.000000e+00,sd_0,3101,0.00000000
anti-sd_0,439,-3101,0.7,0.00000000,0.000000e+00,anti-sd_0,-3101,0.00000000
sd_1,440,3103,-0.7,0.00000000,0.000000e+00,sd_1,3103,0.00000000
anti-sd_1,441,-3103,0.7,0.00000000,0.000000e+00,anti-sd_1,-3103,0.00000000
su_0,454,3201,0.3,0.00000000,0.000000e+00,su_0,3201,0.00000000
anti-su_0,455,-3201,-0.3,0.00000000,0.000000e+00,anti-su_0,-3201,0.00000000
su_1,456,3203,0.3,0.00000000,0.000000e+00,su_1,3203,0.00000000
anti-su_1,457,-3203,-0.3,0.00000000,0.000000e+00,anti-su_1,-3203,0.00000000
ss_1,470,3303,-0.7,0.00000000,0.000000e+00,ss_1,3303,0.00000000
anti-ss_1,471,-3303,0.7,0.00000000,0.000000e+00,anti-ss_1,-3303,0.00000000
cd_0,476,4101,0.3,0.00000000,0.000000e+00,cd_0,4101,0.00000000
anti-cd_0,477,-4101,-0.3,0.00000000,0.000000e+00,anti-cd_0,-4101,0.00000000
cd_1,478,4103,0.3,0.00000000,0.000000e+00,cd_1,4103,0.00000000
anti-cd_1,479,-4103,-0.3,0.00000000,0.000000e+00,anti-cd_1,-4103,0.00000000
cu_0,482,4201,1.3,0.00000000,0.000000e+00,cu_0,4201,0.00000000
anti-cu_0,483,-4201,-1.3,0.00000000,0.000000e+00,anti-cu_0,-4201,0.00000000
cu_1,484,4203,1.3,0.00000000,0.000000e+00,cu_1,4203,0.00000000
anti-cu_1,485,-4203,-1.3,0.00000000,0.000000e+00,anti-cu_1,-4203,0.00000000
cs_0,490,4301,0.3,0.00000000,0.000000e+00,cs_0,4301,0.00000000
anti-cs_0,491,-4301,-0.3,0.00000000,0.000000e+00,anti-cs_0,-4301,0.00000000
cs_1,492,4303,0.3,0.00000000,0.000000e+00,cs_1,4303,0.00000000
anti-cs_1,493,-4303,-0.3,0.00000000,0.000000e+00,anti-cs_1,-4303,0.00000000
cc_1,500,4403,1.3,0.00000000,0.000000e+00,cc_1,4403,0.00000000
anti-cc_1,501,-4403,-1.3,0.00000000,0.000000e+00,anti-cc_1,-4403,0.00000000
bd_0,516,5101,-0.7,0.00000000,0.000000e+00,bd_0,5101,0.00000000
anti-bd_0,517,-5101,0.7,0.00000000,0.000000e+00,anti-bd_0,-5101,0.00000000
bd_1,518,5103,-0.7,0.00000000,0.000000e+00,bd_1,5103,0.00000000
anti-bd_1,519,-5103,0.7,0.00000000,0.000000e+00,anti-bd_1,-5103,0.00000000
bu_0,524,5201,0.3,0.00000000,0.000000e+00,bu_0,5201,0.00000000
anti-bu_0,525,-5201,-0.3,0.00000000,0.000000e+00,anti-bu_0,-5201,0.00000000
bu_1,526,5203,0.3,0.00000000,0.000000e+00,bu_1,5203,0.00000000
anti-bu_1,527,-5203,-0.3,0.00000000,0.000000e+00,anti-bu_1,-5203,0.00000000
bs_0,534,5301,-0.7,0.00000000,0.000000e+00,bs_0,5301,0.00000000
anti-bs_0,535,-5301,0.7,0.00000000,0.000000e+00,anti-bs_0,-5301,0.00000000
bs_1,536,5303,-0.7,0.00000000,0.000000e+00,bs_1,5303,0.00000000
anti-bs_1,537,-5303,0.7,0.00000000,0.000000e+00,anti-bs_1,-5303,0.00000000
bc_0,546,5401,0.3,0.00000000,0.000000e+00,bc_0,5401,0.00000000
anti-bc_0,547,-5401,-0.3,0.00000000,0.000000e+00,anti-bc_0,-5401,0.00000000
bc_1,548,5403,0.3,0.00000000,0.000000e+00,bc_1,5403,0.00000000
anti-bc_1,549,-5403,-0.3,0.00000000,0.000000e+00,anti-bc_1,-5403,0.00000000
bb_1,566,5503,-0.7,0.00000000,0.000000e+00,bb_1,5503,0.00000000
anti-bb_1,567,-5503,0.7,0.00000000,0.000000e+00,anti-bb_1,-5503,0.00000000
vpho,586,10022,0.0,0.00000000,0.000000e+00,vpho,0,0.00000000
Xsd,751,30343,0.0,1.60000000,0.000000e+00,Xsd,30343,0.00000000
anti-Xsd,752,-30343,0.0,1.60000000,0.000000e+00,anti-Xsd,-30343,0.00000000
Xsu,753,30353,1.0,1.60000000,0.000000e+00,Xsu,30353,0.00000000
anti-Xsu,754,-30353,-1.0,1.60000000,0.000000e+00,anti-Xsu,-30353,0.00000000
Xss,755,30363,0.0,1.80000000,0.000000e+00,Xss,30363,0.00000000
anti-Xss,756,-30363,0.0,1.80000000,0.000000e+00,anti-Xss,-30363,0.00000000
~d_L,859,1000001,-0.3,500.00000000,0.000000e+00,unknown,1000001,0.00000000
~d_Lbar,860,-1000001,0.3,500.00000000,0.000000e+00,unknown,-1000001,0.00000000
~u_L,861,1000002,0.7,500.00000000,0.000000e+00,unknown,1000002,0.00000000
~u_Lbar,862,-1000002,-0.7,500.00000000,0.000000e+00,unknown,-1000002,0.00000000
~s_L,863,1000003,-0.3,500.00000000,0.000000e+00,unknown,1000003,0.00000000
~s_Lbar,864,-1000003,0.3,500.00000000,0.000000e+00,unknown,-1000003,0.00000000
~c_L,865,1000004,0.7,500.00000000,0.000000e+00,unknown,1000004,0.00000000
~c_Lbar,866,-1000004,-0.7,500.00000000,0.000000e+00,unknown,-1000004,0.00000000
~b_1,867,1000005,-0.3,500.00000000,0.000000e+00,unknown,1000005,0.00000000
~b_1bar,868,-1000005,0.3,500.00000000,0.000000e+00,unknown,-1000005,0.00000000
~t_1,869,1000006,0.7,500.00000000,0.000000e+00,unknown,1000006,0.00000000
~t_1bar,870,-1000006,-0.7,500.00000000,0.000000e+00,unknown,-1000006,0.00000000
~e_L-,871,1000011,-1.0,500.00000000,0.000000e+00,unknown,1000011,0.00000000
~e_L+,872,-1000011,1.0,500.00000000,0.000000e+00,unknown,-1000011,0.00000000
~nu_eL,873,1000012,0.0,500.00000000,0.000000e+00,unknown,1000012,0.00000000
~nu_eLbar,874,-1000012,0.0,500.00000000,0.000000e+00,unknown,-1000012,0.00000000
~mu_L-,875,1000013,-1.0,500.00000000,0.000000e+00,unknown,1000013,0.00000000
~mu_L+,876,-1000013,1.0,500.00000000,0.000000e+00,unknown,-1000013,0.00000000
~nu_muL,877,1000014,0.0,500.00000000,0.000000e+00,unknown,1000014,0.00000000
~nu_muLbar,878,-1000014,0.0,500.00000000,0.000000e+00,unknown,-1000014,0.00000000
~tau_1-,879,1000015,-1.0,500.00000000,0.000000e+00,unknown,1000015,0.00000000
~tau_1+,880,-1000015,1.0,500.00000000,0.000000e+00,unknown,-1000015,0.00000000
~nu_tauL,881,1000016,0.0,500.00000000,0.000000e+00,unknown,1000016,0.00000000
~nu_tauLbar,882,-1000016,0.0,500.00000000,0.000000e+00,unknown,-1000016,0.00000000
~g,883,1000021,0.0,500.00000000,0.000000e+00,unknown,1000021,0.00000000
~chi_10,884,1000022,0.0,500.00000000,0.000000e+00,unknown,1000022,0.00000000
~chi_20,885,1000023,0.0,500.00000000,0.000000e+00,unknown,1000023,0.00000000
~chi_1+,886,1000024,1.0,500.00000000,0.000000e+00,unknown,1000024,0.00000000
~chi_1-,887,-1000024,-1.0,500.00000000,0.000000e+00,unknown,-1000024,0.00000000
~chi_30,888,1000025,0.0,500.00000000,0.000000e+00,unknown,1000025,0.00000000
~chi_40,889,1000035,0.0,500.00000000,0.000000e+00,unknown,1000035,0.00000000
~chi_2+,890,1000037,1.0,500.00000000,0.000000e+00,unknown,1000037,0.00000000
~chi_2-,891,-1000037,-1.0,500.00000000,0.000000e+00,unknown,-1000037,0.00000000
~Gravitino,892,1000039,0.0,500.00000000,0.000000e+00,unknown,1000039,0.00000000
~d_R,893,2000001,-0.3,500.00000000,0.000000e+00,unknown,2000001,0.00000000
~d_Rbar,894,-2000001,0.3,500.00000000,0.000000e+00,unknown,-2000001,0.00000000
~u_R,895,2000002,0.7,500.00000000,0.000000e+00,unknown,2000002,0.00000000
~u_Rbar,896,-2000002,-0.7,500.00000000,0.000000e+00,unknown,-2000002,0.00000000
~s_R,897,2000003,-0.3,500.00000000,0.000000e+00,unknown,2000003,0.00000000
~s_Rbar,898,-2000003,0.3,500.00000000,0.000000e+00,unknown,-2000003,0.00000000
~c_R,899,2000004,0.7,500.00000000,0.000000e+00,unknown,2000004,0.00000000
~c_Rbar,900,-2000004,-0.7,500.00000000,0.000000e+00,unknown,-2000004,0.00000000
~b_2,901,2000005,-0.3,500.00000000,0.000000e+00,unknown,2000005,0.00000000
~b_2bar,902,-2000005,0.3,500.00000000,0.000000e+00,unknown,-2000005,0.00000000
~t_2,903,2000006,0.7,500.00000000,0.000000e+00,unknown,2000006,0.00000000
~t_2bar,904,-2000006,-0.7,500.00000000,0.000000e+00,unknown,-2000006,0.00000000
~e_R-,905,2000011,-1.0,500.00000000,0.000000e+00,unknown,2000011,0.00000000
~e_R+,906,-2000011,1.0,500.00000000,0.000000e+00,unknown,-2000011,0.00000000
~nu_eR,907,2000012,0.0,500.00000000,0.000000e+00,unknown,2000012,0.00000000
~nu_eRbar,908,-2000012,0.0,500.00000000,0.000000e+00,unknown,-2000012,0.00000000
